Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
490,Tomáš Satoranský,SG,30,NOP,32,481,6.5,0.373,0.29,0.234,4.1,10.8,7.4,20.6,1.4,0.2,16.3,12.6,-0.3,0.3,0.0,-0.003,-5.1,-0.5,-5.6,-0.4,satorto01
490,Tomáš Satoranský,SF,30,SAS,1,9,12.8,0.852,,,0.0,11.7,5.8,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.2,0.8,-2.1,-1.3,0.0,satorto01
490,Tomáš Satoranský,PG,30,WAS,22,416,14.4,0.563,0.262,0.298,2.4,13.6,8.1,35.0,1.8,0.8,19.5,12.6,0.7,0.3,1.0,0.12,-1.4,0.0,-1.5,0.1,satorto01
491,Jordan Schakel,SG,23,WAS,4,30,-1.2,0.21,0.545,0.182,7.5,21.8,14.8,0.0,1.6,0.0,7.8,19.1,-0.2,0.0,-0.1,-0.204,-8.6,-4.3,-13.0,-0.1,schakjo01
492,Admiral Schofield,SF,24,ORL,38,469,7.5,0.538,0.612,0.116,3.8,16.3,10.0,7.9,0.4,1.0,13.4,14.5,-0.1,0.3,0.3,0.027,-4.2,-1.2,-5.4,-0.4,schofad01
493,Dennis Schröder,PG,28,TOT,64,1837,13.0,0.539,0.345,0.254,2.0,10.5,6.3,24.2,1.4,0.4,15.1,22.6,1.0,1.9,2.9,0.076,-1.5,-0.4,-1.9,0.0,schrode01
493,Dennis Schröder,PG,28,BOS,49,1433,13.5,0.543,0.329,0.248,2.2,10.0,6.2,22.0,1.4,0.3,13.8,23.1,1.0,1.8,2.8,0.092,-1.2,0.0,-1.2,0.3,schrode01
493,Dennis Schröder,PG,28,HOU,15,404,11.5,0.519,0.414,0.279,1.6,12.0,6.8,32.0,1.4,0.7,19.9,20.6,0.1,0.1,0.2,0.02,-2.5,-1.9,-4.4,-0.2,schrode01
494,Tre Scott,SF,25,CLE,2,11,20.4,0.5,0.167,0.0,10.3,9.8,10.1,0.0,4.5,8.1,0.0,24.1,0.0,0.0,0.0,0.138,-4.8,1.8,-3.0,0.0,scotttr01
495,Jay Scrubb,SG,21,LAC,18,121,9.3,0.486,0.457,0.217,1.8,11.9,7.0,9.7,1.6,2.1,12.2,20.8,-0.1,0.1,0.0,0.002,-4.4,-0.4,-4.8,-0.1,scrubja01
496,Wayne Selden,SG,27,NYK,3,19,4.3,0.434,0.5,1.0,0.0,5.8,2.8,7.2,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.016,-4.3,-1.6,-5.9,0.0,seldewa01
